Title,Company,Level,Responsibility,Link
Senior Data Analyst - Air,Hopper,Associate,Proven ability to communicate complex technical work to a non-technical audience,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,Enthusiasm and curiosity for conducting research and answering hard questions with data,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,"Exposure to scripting with Pandas, R, SAS or other data preparation and analysis tools",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,Experience with relational databases and SQL would be an asset,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate," Well-funded and proven startup with large ambitions, competitive salary and stock options",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate, Dynamic and entrepreneurial team where pushing limits is everyday business,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate," 100% employer paid medical, dental, vision, disability and life insurance plans",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate, Access to a 401k (US) or Retirement Savings Plan (Canada),https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate, Easy commute with a paid-for public transportation or parking pass,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate, IATA Travel Agent Card for discounts in the travel industry,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate," Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate," Team lunches, offsite activities and much more!",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
